sinif,sira,zorluk,oncelik,pdf_anahtar,dogru_cevap,sorunlar,soru_id
7. Sınıf,2,Kolay,ok,,"A","",6a2aede6a820514ecceae60e
7. Sınıf,3,Kolay,ok,,"dn+16","",6a2aede7a820514ecceae614
7. Sınıf,4,Kolay,ok,,"5n-1","",6a2aede7a820514ecceae61a
7. Sınıf,5,Kolay,dusuk,,"-76","metin-gurultu",6a2aede7a820514ecceae620
7. Sınıf,6,Kolay,ok,,"19","",6a2aede7a820514ecceae627
7. Sınıf,7,Kolay,ok,,"11 ow Ds","",6a2aede7a820514ecceae62d
7. Sınıf,8,Orta,ok,,"n² + 1","",6a2aede7a820514ecceae633
7. Sınıf,9,Orta,ok,,"70","",6a2aede7a820514ecceae639
7. Sınıf,10,Orta,dusuk,,"66","metin-gurultu",6a2aede7a820514ecceae63f
7. Sınıf,11,Orta,ok,,"A","",6a2aede7a820514ecceae645
7. Sınıf,12,Orta,ok,,"13","",6a2aede7a820514ecceae64b
7. Sınıf,13,Orta,ok,,"A","",6a2aede7a820514ecceae651
7. Sınıf,14,Orta,ok,,"88","",6a2aede7a820514ecceae657
7. Sınıf,15,Zor,ok,,"A","",6a2aede7a820514ecceae65d
7. Sınıf,16,Zor,ok,,"16","",6a2aede7a820514ecceae663
7. Sınıf,17,Zor,dusuk,,"4n+8","metin-gurultu",6a2aede7a820514ecceae669
7. Sınıf,18,Zor,ok,,"A","",6a2aede7a820514ecceae66f
7. Sınıf,19,Zor,ok,,"11","",6a2aede7a820514ecceae675
7. Sınıf,20,Zor,ok,,"78","",6a2aede7a820514ecceae67b
7. Sınıf,21,Zor,dusuk,,"9","metin-gurultu",6a2aede7a820514ecceae681
9. Sınıf,1,Kolay,ok,B,"1044","",6a2aedb26604b37b85cb9b00
9. Sınıf,2,Kolay,ok,E,"8","",6a2aedb26604b37b85cb9b06
9. Sınıf,3,Kolay,ok,E,"546","",6a2aedb26604b37b85cb9b0c
9. Sınıf,4,Kolay,ok,D,"500","",6a2aedb26604b37b85cb9b12
9. Sınıf,5,Kolay,ok,C,"333 Hareketlinin aldığı son vol 2° birim olduğuna adre. aşağı","",6a2aedb26604b37b85cb9b18
9. Sınıf,6,Kolay,ok,B,"1","",6a2aedb26604b37b85cb9b1e
9. Sınıf,7,Kolay,ok,D,"39","",6a2aedb26604b37b85cb9b24
9. Sınıf,8,Orta,ok,B,"96","",6a2aedb26604b37b85cb9b2a
9. Sınıf,9,Orta,ok,A,"260","",6a2aedb26604b37b85cb9b30
9. Sınıf,10,Orta,ok,C,"270","",6a2aedb26604b37b85cb9b36
9. Sınıf,11,Orta,ok,C,"170 A 3","",6a2aedb26604b37b85cb9b3c
9. Sınıf,12,Orta,ok,E,"44","",6a2aedb26604b37b85cb9b42
9. Sınıf,13,Orta,ok,C,"7n-2","",6a2aedb26604b37b85cb9b48
9. Sınıf,14,Orta,ok,E,"13","",6a2aedb26604b37b85cb9b4e
9. Sınıf,15,Zor,ok,C,"4840","",6a2aedb26604b37b85cb9b54
9. Sınıf,16,Zor,ok,C,"4840","",6a2aedb26604b37b85cb9b5a
9. Sınıf,17,Zor,ok,C,"23","",6a2aedb26604b37b85cb9b60
9. Sınıf,18,Zor,ok,D,"m=k E)2m=k-36","",6a2aedb36604b37b85cb9b66
9. Sınıf,19,Zor,ok,D,"72","",6a2aedb36604b37b85cb9b6c
9. Sınıf,20,Zor,ok,D,"72","",6a2aedb36604b37b85cb9b72
9. Sınıf,21,Zor,ok,B,"6","",6a2aedb36604b37b85cb9b78
